id,nj,chain,pct_fte,wage_st,hrsopen,diff_fte
46,0,1,74.0740740740741,NA,16.5,-16.5
46,0,1,14.5833333333333,4.3,16.5,-16.5
49,0,2,47.2727272727273,NA,13,-2.25
49,0,2,0,4.45,13,-2.25
506,0,2,35.2941176470588,NA,10,2
506,0,2,28.5714285714286,5,11,2
56,0,4,58.8235294117647,5,12,-14
56,0,4,0,5.25,12,-14
61,0,4,25,5.5,12,11.5
61,0,4,78.8732394366197,4.75,12,11.5
62,0,4,0,5,12,NA
62,0,4,NA,NA,12,NA
445,0,1,70.9219858156028,5,18,-41.5
445,0,1,51.7241379310345,4.75,18,-41.5
451,0,1,42.5531914893617,5,24,13
451,0,1,71.2328767123288,5,24,13
455,0,2,18.1818181818182,5.25,10,0
455,0,2,27.2727272727273,5,11,0
458,0,2,22.2222222222222,5,10,-0.5
458,0,2,23.5294117647059,5,10.5,-0.5
462,0,3,16.1290322580645,5,12.5,2
462,0,3,5.71428571428571,4.75,12,2
468,0,1,68.9655172413793,5,18,-29
468,0,1,31.0344827586207,5,18,-29
469,0,1,30.188679245283,5,18,4
469,0,1,22.9508196721311,4.5,18,4
470,0,1,36.8421052631579,5.5,18,-2.5
470,0,1,69.2307692307692,4.75,18,-2.5
474,0,1,44.4444444444444,5,12.5,4.5
474,0,1,27.7777777777778,4.5,13,4.5
481,0,2,29.8507462686567,5.25,10,3.25
481,0,2,75,5,11,3.25
483,0,2,10.5263157894737,5,10,4
483,0,2,29.6296296296296,4.75,11,4
487,0,3,66.6666666666667,5,11.5,4
487,0,3,31.5789473684211,4.75,11,4
488,0,3,67.7966101694915,5,16,-14
488,0,3,32.258064516129,4.75,15,-14
489,0,3,27.027027027027,5,14,-4
489,0,3,13.7931034482759,4.25,11.5,-4
490,0,3,49.3827160493827,5,16,-6.25
490,0,3,14.2857142857143,5,16,-6.25
493,0,3,75,5,16,-17
493,0,3,0,4.9,16,-17
495,0,3,19.047619047619,5,15,0
495,0,3,38.0952380952381,5,16,0
496,0,3,48.780487804878,5,16,-2.5
496,0,3,55.5555555555556,4.75,16,-2.5
499,0,4,0,5,12,1.5
499,0,4,0,5,12,1.5
509,0,3,21.4285714285714,5,16,-0.5
509,0,3,40.7407407407407,4.25,15.5,-0.5
515,0,3,36.8421052631579,5,16,-1.5
515,0,3,28.5714285714286,4.75,16,-1.5
37,0,1,64.6153846153846,4.25,16.5,-7
37,0,1,23.5294117647059,4.25,16.5,-7
39,0,1,5.26315789473684,4.25,17.5,-3.5
39,0,1,32.258064516129,NA,16.5,-3.5
40,0,1,37.037037037037,4.25,16.5,-1.5
40,0,1,27.4509803921569,4.25,17.5,-1.5
41,0,1,0,4.25,16.5,7.5
41,0,1,0,4.25,17.5,7.5
42,0,1,70.8333333333333,4.5,16.5,-8
42,0,1,0,4.25,16.5,-8
45,0,1,0,4.25,16,1
45,0,1,57.8947368421053,4.25,17.5,1
47,0,1,NA,4.5,17,NA
47,0,1,0,4.25,18,NA
48,0,1,31.5789473684211,4.25,14,6
48,0,1,30,4.38,14,6
50,0,2,42.8571428571429,4.5,12,3
50,0,2,23.5294117647059,4.75,13,3
51,0,2,0,4.25,13,6
51,0,2,36.3636363636364,4.25,13,6
57,0,4,78.9473684210526,4.67,12,-18
57,0,4,35,4.5,12,-18
58,0,4,34.0425531914894,4.75,12,-5.5
58,0,4,0,4.5,12,-5.5
59,0,4,0,4.25,10.5,1.5
59,0,4,0,4.25,10.5,1.5
60,0,4,40,4.25,11.5,0
60,0,4,40,4.25,12,0
407,0,2,18.1818181818182,4.75,10,0
407,0,2,9.09090909090909,4.25,11,0
430,0,1,54.7945205479452,4.25,15,-9.5
430,0,1,0,4.25,16,-9.5
432,0,1,38.0952380952381,4.5,16,-18.5
432,0,1,73.5294117647059,5.05,16,-18.5
433,0,1,34.4827586206897,4.25,16,-4
433,0,1,0,NA,16,-4
434,0,1,33.3333333333333,4.25,16,-7.5
434,0,1,50.6666666666667,4.25,16,-7.5
435,0,1,4.3956043956044,4.25,15.5,-1.75
435,0,1,0,4.25,15.5,-1.75
438,0,2,0,4.25,8,2
438,0,2,21.0526315789474,4.25,9,2
440,0,4,0,4.25,11.5,2.5
440,0,4,0,NA,11.5,2.5
441,0,4,78.9473684210526,4.25,11.5,-20
441,0,4,0,4.25,11.5,-20
443,0,4,22.8571428571429,4.25,11.5,1.5
443,0,4,26.3157894736842,4.35,11.5,1.5
444,0,4,48,4.25,12.5,6.5
444,0,4,31.7460317460317,4.5,11.5,6.5
446,0,1,NA,4.5,18,NA
446,0,1,30.4347826086957,5,18,NA
448,0,1,38.0952380952381,4.75,18,3.5
448,0,1,32.6530612244898,4.5,18,3.5
449,0,1,0,4.87,18,12
449,0,1,54.5454545454545,5,18,12
450,0,1,12.9032258064516,4.75,16.5,19
450,0,1,79.7101449275362,4.75,18,19
454,0,2,11.7647058823529,4.5,10,5.5
454,0,2,0,5,11,5.5
459,0,3,27.7777777777778,4.25,16,-3
459,0,3,0,4.35,15,-3
466,0,4,38.5542168674699,4.75,11.5,2.25
466,0,4,60.8695652173913,NA,11.5,2.25
471,0,1,64.1025641025641,4.25,18,-12.5
471,0,1,45.2830188679245,4.25,18,-12.5
472,0,1,90.3614457831325,4.25,16.5,-18
472,0,1,34.0425531914894,4.9,17,-18
473,0,1,22.2222222222222,4.75,17,13
473,0,1,73.2394366197183,4.5,17,13
475,0,1,78.125,4.5,15,-11
475,0,1,47.6190476190476,4.5,15,-11
476,0,1,25,4.25,18,-1
476,0,1,21.7391304347826,4.75,18,-1
477,0,1,30.7692307692308,4.25,16.5,-6
477,0,1,30,6.25,17,-6
478,0,1,65.979381443299,4.5,19,-21.5
478,0,1,29.6296296296296,4.35,18,-21.5
485,0,2,11.7647058823529,4.5,10,4.5
485,0,2,30.7692307692308,4.5,11,4.5
491,0,3,21.6216216216216,4.5,13,-18.5
491,0,3,NA,NA,NA,-18.5
492,0,3,15.3846153846154,4.5,12.5,0.5
492,0,3,29.6296296296296,4.5,12.5,0.5
497,0,4,53.3333333333333,4.5,12,NA
497,0,4,NA,NA,12,NA
498,0,4,71.4285714285714,4.75,12,-1.25
498,0,4,78.5046728971963,5,12,-1.25
501,0,1,57.1428571428571,4.25,16.5,19
501,0,1,68.9655172413793,4.75,18,19
503,0,1,40.5405405405405,4.75,16.5,22.75
503,0,1,84.8484848484848,4.5,18,22.75
510,0,3,29.7872340425532,4.25,16,-9.25
510,0,3,17.5438596491228,NA,15,-9.25
511,0,3,26.6666666666667,4.75,16.5,-2.5
511,0,3,24,4.75,15,-2.5
514,0,3,27.7777777777778,4.5,16,16
514,0,3,67.6470588235294,4.25,16,16
516,0,3,29.6296296296296,4.75,16,-10.25
516,0,3,20,4.91,14,-10.25
521,0,1,16.1290322580645,4.25,16.5,-1.5
521,0,1,0,4.4,16,-1.5
522,0,1,9.52380952380952,4.35,16,-3.5
522,0,1,17.1428571428571,4.25,16,-3.5
113,1,1,0,NA,16,12
113,1,1,7.40740740740741,5.05,16,12
123,1,1,0,NA,14.5,6.5
123,1,1,23.2558139534884,5.05,14,6.5
135,1,3,41.6666666666667,NA,12.5,-1
135,1,3,34.7826086956522,5.05,11.5,-1
138,1,3,23.3766233766234,NA,11.5,2.25
138,1,3,9.30232558139535,5.05,11.5,2.25
153,1,1,0,NA,17,13
153,1,1,76.8115942028985,5.05,17,13
181,1,2,0,NA,11,1
181,1,2,9.52380952380952,5.05,11,1
191,1,4,68.1818181818182,NA,12,-27.5
191,1,4,0,5.05,12,-27.5
231,1,1,NA,NA,16,NA
231,1,1,69.5652173913043,5.05,16,NA
236,1,1,0,NA,17,17
236,1,1,60.5263157894737,5.05,18,17
254,1,4,71.4285714285714,NA,16,8
254,1,4,77.7777777777778,5.25,15,8
255,1,4,0,NA,14,6
255,1,4,50,NA,14,6
294,1,1,0,NA,16,0
294,1,1,0,5.05,16,0
306,1,3,58.8235294117647,NA,17,-6.5
306,1,3,31.5789473684211,5.05,18,-6.5
311,1,4,0,NA,11.5,34
311,1,4,66.0377358490566,5.05,11.5,34
315,1,1,30.3030303030303,NA,16,0
315,1,1,27.2727272727273,5.05,16,0
335,1,1,52.9411764705882,NA,17,-0.5
335,1,1,42.4242424242424,5.05,17,-0.5
372,1,1,0,NA,19,17.5
372,1,1,66.6666666666667,5.05,18.5,17.5
6,1,3,40,5,7,3
6,1,3,62.5,5.05,8,3
14,1,2,62.5,5.12,11,-0.5
14,1,2,25.8064516129032,5.05,11,-0.5
26,1,1,72.289156626506,5.56,16,-17.5
26,1,1,41.6666666666667,5.05,16,-17.5
27,1,2,30.7692307692308,5,10,-5.5
27,1,2,0,5.05,10,-5.5
30,1,2,60,5,10,-2.5
30,1,2,53.3333333333333,5.05,10,-2.5
31,1,2,26.6666666666667,5.25,11,3.5
31,1,2,32.4324324324324,5.05,12.5,3.5
33,1,3,46.1538461538462,5,17,-9.5
33,1,3,36.3636363636364,5.05,17,-9.5
36,1,4,44.4444444444444,5.5,13,15.5
36,1,4,29.8507462686567,5.05,12.5,15.5
77,1,3,17.1428571428571,5,19,2
77,1,3,10.8108108108108,5.05,19,2
78,1,3,61.9047619047619,5,17,-3
78,1,3,55.5555555555556,5.05,16,-3
81,1,4,72.463768115942,5,12,-8
81,1,4,0,5.05,11.5,-8
82,1,4,43.8356164383562,5,13.5,14.75
82,1,4,75.7575757575758,5.05,13.5,14.75
83,1,4,51.0204081632653,5,13.5,NA
83,1,4,NA,5.05,14,NA
85,1,1,35,5.5,12.5,0.5
85,1,1,0,5.05,12.5,0.5
89,1,1,62.5,5,16,8.5
89,1,1,24.4897959183673,5.5,16,8.5
94,1,2,0,5,10,-1.5
94,1,2,12.5,5.05,10,-1.5
103,1,4,60.9756097560976,5,11.5,NA
103,1,4,NA,5.05,12.5,NA
112,1,4,20,5,14,3.5
112,1,4,21.2765957446809,5.05,12.5,3.5
128,1,2,53.0612244897959,5,11,0.75
128,1,2,23.0769230769231,5.05,11,0.75
129,1,3,60.6060606060606,5.25,16,-13
129,1,3,35,5.05,16,-13
