sheet,nj,chain,hrsopen,diff_fte
46,0,1,16.5,-16.5
49,0,2,13,-2.25
56,0,4,12,-14
61,0,4,12,11.5
445,0,1,18,-41.5
451,0,1,24,13
468,0,1,18,-29
469,0,1,18,4
470,0,1,18,-2.5
490,0,3,16,-6.25
493,0,3,16,-17
496,0,3,16,-2.5
499,0,4,12,1.5
515,0,3,16,-1.5
37,0,1,16.5,-7
42,0,1,16.5,-8
48,0,1,14,6
51,0,2,13,6
57,0,4,12,-18
58,0,4,12,-5.5
59,0,4,10.5,1.5
432,0,1,16,-18.5
433,0,1,16,-4
434,0,1,16,-7.5
435,0,1,15.5,-1.75
440,0,4,11.5,2.5
441,0,4,11.5,-20
443,0,4,11.5,1.5
448,0,1,18,3.5
449,0,1,18,12
466,0,4,11.5,2.25
471,0,1,18,-12.5
473,0,1,17,13
475,0,1,15,-11
476,0,1,18,-1
492,0,3,12.5,0.5
498,0,4,12,-1.25
514,0,3,16,16
522,0,1,16,-3.5
113,1,1,16,12
138,1,3,11.5,2.25
153,1,1,17,13
181,1,2,11,1
191,1,4,12,-27.5
255,1,4,14,6
294,1,1,16,0
311,1,4,11.5,34
315,1,1,16,0
335,1,1,17,-0.5
14,1,2,11,-0.5
26,1,1,16,-17.5
27,1,2,10,-5.5
30,1,2,10,-2.5
33,1,3,17,-9.5
77,1,3,19,2
82,1,4,13.5,14.75
85,1,1,12.5,0.5
89,1,1,16,8.5
94,1,2,10,-1.5
128,1,2,11,0.75
129,1,3,16,-13
144,1,4,12.5,-2.5
145,1,1,16,1.5
147,1,1,14,-5.75
148,1,1,17,3
152,1,1,15,-22.75
161,1,3,17,11.5
165,1,4,12.5,-5.5
169,1,1,16,-5.5
170,1,1,16,11
187,1,3,15,-0.25
197,1,1,17,-11.5
234,1,1,16,7
240,1,3,17,-10
259,1,1,14.5,3.5
268,1,1,15,0.25
296,1,1,16,-2.5
299,1,2,11.5,5
301,1,2,10.5,-12.5
324,1,3,24,-1.5
326,1,3,24,-19
334,1,1,12.5,-5
354,1,4,10.5,-5
356,1,4,11.5,-2.5
371,1,1,16,-0.5
373,1,1,15.5,5.5
375,1,1,15,-17.5
381,1,1,16.5,3.5
407,1,4,10.5,2.5
409,1,1,15,-24.5
1,1,1,16,9
5,1,3,17,5
9,1,1,16,-16
10,1,1,16,-2.5
11,1,1,16,-2
12,1,1,16,5.25
15,1,3,17,-1.5
16,1,3,17,-2.5
17,1,3,17,11.5
18,1,3,17,1.5
19,1,1,16,9.5
28,1,2,10,2
29,1,2,11,4
32,1,3,11.5,-5.75
34,1,3,11.5,2
35,1,4,11.5,-7.25
64,1,1,16,-8
66,1,1,17,8
67,1,1,13.5,-0.75
68,1,1,17,-13.5
69,1,1,18,0
70,1,1,16,-20
71,1,1,17,18.5
75,1,2,11,-1
84,1,1,16,8
86,1,1,15,-1.5
88,1,1,15,3
91,1,1,17,-4
92,1,1,15,3
93,1,1,16,2
95,1,2,10,-13.5
97,1,2,10,1
98,1,2,10,-1.5
99,1,3,24,-26
101,1,3,15,4
105,1,1,16.5,2.5
106,1,1,16,-3
108,1,1,17,3
111,1,3,16,3.25
115,1,1,17,-19
116,1,1,13,13.75
118,1,1,15,9.5
120,1,1,16,0
122,1,1,12.5,16
124,1,1,15,12
134,1,3,16,1.75
140,1,4,11.5,4.5
141,1,4,12.5,4
142,1,4,11.5,24
146,1,1,16,-2.5
149,1,1,16,2
156,1,1,15,-5.5
171,1,1,16,0.25
174,1,1,16,8
176,1,1,16,8.25
185,1,2,10.5,-1.5
186,1,3,16,1
189,1,3,15,-2
201,1,1,17,10.5
202,1,1,19,-18.5
203,1,1,17,7
204,1,1,17.5,3.5
207,1,2,12,-3.5
211,1,1,15,2.5
212,1,1,16,7.75
213,1,1,17.5,6.25
215,1,1,16,10
216,1,2,10.5,3.5
220,1,2,10,-0.5
221,1,2,11,-6.5
225,1,3,17,9
228,1,4,12.5,3.25
229,1,1,13.5,4.5
230,1,1,17,11
233,1,1,16,-4
238,1,2,12,23.5
247,1,4,15.5,0
248,1,4,16,1
249,1,1,15,6
250,1,2,10,2
260,1,1,16,-2
267,1,1,16,28
273,1,2,10,-2.5
277,1,2,10,-1.5
284,1,3,16,-5.5
285,1,3,16,-5
286,1,3,11.5,1
287,1,3,16,-2.5
288,1,3,16,-0.5
291,1,4,11.5,-1
292,1,4,16,3
297,1,1,16,14.5
310,1,4,11.5,-0.5
316,1,1,16,-3.5
325,1,3,15,-4
333,1,1,15,1.75
337,1,1,17,5.75
339,1,1,16,-11.5
351,1,3,16,5.25
355,1,4,11.5,0
361,1,1,16,4
363,1,2,12.5,4
366,1,3,11.5,1
370,1,1,16,2.4499999999999993
376,1,1,14,-1.5
377,1,1,14,2
379,1,1,16,4
380,1,1,16,4.5
383,1,1,16,0
385,1,1,17,-1
386,1,1,17,10.5
391,1,2,10,-2
393,1,2,11,11
397,1,3,17,-4.5
398,1,3,17,11
401,1,3,16,7.5
410,1,1,16,0
411,1,1,16,4
412,1,2,11,-2
413,1,1,17,-10
414,1,1,16,-1.5
415,1,1,16,-6
417,1,1,16,4.5
419,1,2,11,-2.5
421,1,2,13,3.5
422,1,2,11,9.5
427,1,4,12.5,6.5
428,1,4,12.5,5.5
